,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
356,18,0,0,0,0,0,0,0,0,771,GTB,6,1994
357,22,0,0,0,0,0,0,0,0,771,GTB,6,1994
358,33,0,0,0,0,0,0,0,0,771,GTB,6,1994
359,Total,1,17,11,13,0,3,0,45,771,GTB,6,1994
360,3,0,0,0,0,0,0,0,0,7617,GTB,7,1990
361,4,0,76,29,11,14,1,0,131,7617,GTB,7,1990
362,12,0,1,1,2,1,0,0,5,7617,GTB,7,1990
363,15,0,1,2,7,2,4,0,16,7617,GTB,7,1990
364,18,0,1,2,0,1,0,0,4,7617,GTB,7,1990
365,22,0,0,0,0,0,0,0,0,7617,GTB,7,1990
366,33,0,0,0,0,0,1,29,30,7617,GTB,7,1990
367,Total,0,79,34,20,18,6,29,186,7617,GTB,7,1990
368,3,3,3,0,0,0,0,0,6,744,GTB,6,2015
369,4,20,186,24,16,0,2,1,249,744,GTB,6,2015
370,12,0,2,5,2,0,2,0,11,744,GTB,6,2015
371,15,0,7,5,26,0,7,0,45,744,GTB,6,2015
372,18,0,3,1,1,0,0,0,5,744,GTB,6,2015
373,22,0,0,1,0,0,0,0,1,744,GTB,6,2015
374,33,0,1,0,0,0,0,0,1,744,GTB,6,2015
375,Total,23,202,36,45,0,11,1,318,744,GTB,6,2015
376,3,12,2,0,0,0,0,0,14,763,GTB,7,1989
377,4,30,74,6,11,15,0,0,136,763,GTB,7,1989
378,12,0,0,4,0,5,1,0,10,763,GTB,7,1989
379,15,0,12,4,40,24,7,0,87,763,GTB,7,1989
380,18,0,0,0,0,0,0,0,0,763,GTB,7,1989
381,22,0,0,1,0,0,1,0,2,763,GTB,7,1989
382,33,0,0,0,0,0,0,1,1,763,GTB,7,1989
383,Total,42,88,15,51,44,9,1,250,763,GTB,7,1989
384,3,0,1,0,0,0,0,0,1,775,GTB,7,2011
385,4,1,1,0,0,1,0,0,3,775,GTB,7,2011
386,12,0,1,0,0,0,0,0,1,775,GTB,7,2011
387,15,0,1,0,1,0,2,0,4,775,GTB,7,2011
388,18,0,0,0,0,0,0,0,0,775,GTB,7,2011
389,22,0,0,0,0,0,0,0,0,775,GTB,7,2011
390,33,0,0,0,0,0,0,0,0,775,GTB,7,2011
391,Total,1,4,0,1,1,2,0,9,775,GTB,7,2011
392,3,1,3,0,0,0,0,0,4,7422,GTB,6,1996
393,4,5,74,7,11,0,2,0,99,7422,GTB,6,1996
394,12,0,1,0,3,0,2,0,6,7422,GTB,6,1996
395,15,2,10,0,16,0,4,0,32,7422,GTB,6,1996
396,18,0,0,0,0,0,0,0,0,7422,GTB,6,1996
397,22,0,0,0,0,0,0,0,0,7422,GTB,6,1996
398,33,0,0,0,0,0,0,2,2,7422,GTB,6,1996
399,Total,8,88,7,30,0,8,2,143,7422,GTB,6,1996
400,3,0,0,0,0,0,0,0,0,773,GTB,9,2002
401,4,0,3,0,0,0,0,0,3,773,GTB,9,2002
402,12,0,1,0,0,0,0,0,1,773,GTB,9,2002
403,15,0,4,0,12,0,0,0,16,773,GTB,9,2002
404,18,0,0,0,0,0,0,0,0,773,GTB,9,2002
405,22,0,0,0,0,0,0,0,0,773,GTB,9,2002
406,33,0,0,0,0,0,0,0,0,773,GTB,9,2002
407,Total,0,8,0,12,0,0,0,20,773,GTB,9,2002
408,3,0,0,0,0,0,0,0,0,773,GTB,7,2013
409,4,0,1,0,0,1,0,0,2,773,GTB,7,2013
410,12,0,1,0,0,0,0,0,1,773,GTB,7,2013
411,15,2,4,0,11,0,0,0,17,773,GTB,7,2013
412,18,0,0,0,0,0,0,0,0,773,GTB,7,2013
413,22,0,0,0,0,0,0,0,0,773,GTB,7,2013
414,33,0,0,0,0,0,0,0,0,773,GTB,7,2013
415,Total,2,6,0,11,1,0,0,20,773,GTB,7,2013
416,3,0,0,0,0,0,0,0,0,7618,GTB,6,1987
417,4,1,51,9,3,0,1,0,65,7618,GTB,6,1987
418,12,0,1,0,0,0,0,0,1,7618,GTB,6,1987
419,15,0,1,1,16,0,0,0,18,7618,GTB,6,1987
420,18,0,0,0,0,0,0,0,0,7618,GTB,6,1987
421,22,0,0,0,0,0,1,0,1,7618,GTB,6,1987
422,33,0,0,0,0,0,0,0,0,7618,GTB,6,1987
423,Total,1,53,10,19,0,2,0,85,7618,GTB,6,1987
424,3,4,3,0,0,0,0,0,7,753,GTB,6,2012
425,4,8,67,0,0,0,3,0,78,753,GTB,6,2012
426,12,0,1,0,0,0,1,0,2,753,GTB,6,2012
427,15,2,18,0,1,0,4,0,25,753,GTB,6,2012
428,18,0,4,0,0,0,5,0,9,753,GTB,6,2012
429,22,0,1,0,0,0,2,0,3,753,GTB,6,2012
430,33,1,1,1,0,0,2,0,5,753,GTB,6,2012
431,Total,15,95,1,1,0,17,0,129,753,GTB,6,2012
432,3,0,1,0,0,0,0,0,1,7619,GTB,9,1988
433,4,0,32,3,1,0,0,0,36,7619,GTB,9,1988
434,12,0,0,1,0,0,0,0,1,7619,GTB,9,1988
435,15,0,0,0,0,2,0,0,2,7619,GTB,9,1988
