,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
382,33,0,0,0,0,0,0,37,37,7617,toExport,9,1991
383,Total,0,117,4,0,0,0,37,158,7617,toExport,9,1991
384,3,5,12,1,0,0,0,0,18,763,toExport,5,2011
385,4,7,180,3,0,0,0,0,190,763,toExport,5,2011
386,12,1,3,4,0,0,2,0,10,763,toExport,5,2011
387,15,0,0,0,0,0,0,0,0,763,toExport,5,2011
388,18,0,0,0,0,0,0,0,0,763,toExport,5,2011
389,22,0,2,0,0,0,2,0,4,763,toExport,5,2011
390,33,0,0,0,0,0,0,3,3,763,toExport,5,2011
391,Total,13,197,8,0,0,4,3,225,763,toExport,5,2011
392,3,6,18,0,0,0,1,0,25,753,toExport,5,2021
393,4,43,253,2,0,0,1,0,299,753,toExport,5,2021
394,12,1,4,0,0,0,1,0,6,753,toExport,5,2021
395,15,0,0,0,0,0,0,0,0,753,toExport,5,2021
396,18,0,0,0,0,0,0,0,0,753,toExport,5,2021
397,22,2,1,3,0,0,12,0,18,753,toExport,5,2021
398,33,3,4,0,0,0,0,8,15,753,toExport,5,2021
399,Total,55,280,5,0,0,15,8,363,753,toExport,5,2021
400,3,14,3,1,0,0,1,0,19,751,toExport,5,1987
401,4,90,55,0,0,0,2,1,148,751,toExport,5,1987
402,12,0,5,1,0,0,3,0,9,751,toExport,5,1987
403,15,0,0,0,0,0,0,0,0,751,toExport,5,1987
404,18,0,0,0,0,0,0,0,0,751,toExport,5,1987
405,22,1,4,1,0,0,2,0,8,751,toExport,5,1987
406,33,0,0,1,0,0,0,1,2,751,toExport,5,1987
407,Total,105,67,4,0,0,8,2,186,751,toExport,5,1987
408,3,0,0,0,0,0,0,0,0,7617,toExport,5,2005
409,4,0,114,23,0,0,0,0,137,7617,toExport,5,2005
410,12,0,1,1,0,0,2,0,4,7617,toExport,5,2005
411,15,0,0,0,0,0,0,0,0,7617,toExport,5,2005
412,18,0,0,0,0,0,0,0,0,7617,toExport,5,2005
413,22,0,0,0,0,0,0,1,1,7617,toExport,5,2005
414,33,0,0,0,0,0,0,35,35,7617,toExport,5,2005
415,Total,0,115,24,0,0,2,36,177,7617,toExport,5,2005
416,3,21,5,0,0,0,0,0,26,7741,toExport,5,2008
417,4,14,70,7,0,0,0,0,91,7741,toExport,5,2008
418,12,1,4,2,0,0,0,0,7,7741,toExport,5,2008
419,15,0,0,0,0,0,0,0,0,7741,toExport,5,2008
420,18,0,0,0,0,0,0,0,0,7741,toExport,5,2008
421,22,0,1,1,0,0,0,0,2,7741,toExport,5,2008
422,33,0,0,0,0,0,0,1,1,7741,toExport,5,2008
423,Total,36,80,10,0,0,0,1,127,7741,toExport,5,2008
424,3,0,14,0,0,0,0,0,14,765,toExport,9,2010
425,4,0,87,0,0,0,1,0,88,765,toExport,9,2010
426,12,0,0,0,0,0,0,0,0,765,toExport,9,2010
427,15,0,0,0,0,0,0,0,0,765,toExport,9,2010
428,18,0,0,0,0,0,0,0,0,765,toExport,9,2010
429,22,0,1,0,0,0,4,0,5,765,toExport,9,2010
430,33,0,1,0,0,0,0,1,2,765,toExport,9,2010
431,Total,0,103,0,0,0,5,1,109,765,toExport,9,2010
432,3,10,6,0,0,0,0,0,16,776,toExport,5,1988
433,4,12,156,2,0,0,4,0,174,776,toExport,5,1988
434,12,0,0,2,0,0,6,0,8,776,toExport,5,1988
435,15,0,0,0,0,0,0,0,0,776,toExport,5,1988
436,18,0,0,0,0,0,0,0,0,776,toExport,5,1988
437,22,0,0,1,0,0,0,0,1,776,toExport,5,1988
