,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year,15,18
360,3,0,0,0,,0,,0,0,773,RF,6,1992,0.0,0.0
361,4,0,2,1,,1,,0,4,773,RF,6,1992,0.0,0.0
362,12,0,0,0,,0,,1,1,773,RF,6,1992,0.0,0.0
363,15,0,4,0,,4,,0,15,773,RF,6,1992,7.0,0.0
364,18,0,0,0,,0,,0,0,773,RF,6,1992,0.0,0.0
365,22,0,0,0,,0,,0,0,773,RF,6,1992,0.0,0.0
366,33,0,0,0,,0,,0,0,773,RF,6,1992,0.0,0.0
367,Total,0,6,1,,5,,1,20,773,RF,6,1992,7.0,0.0
368,3,1,2,0,1.0,0,0.0,0,4,771,RF,5,1988,,
369,4,1,86,18,29.0,5,0.0,1,140,771,RF,5,1988,,
370,12,0,1,1,2.0,0,0.0,0,4,771,RF,5,1988,,
371,21,2,15,1,92.0,24,0.0,2,136,771,RF,5,1988,,
372,22,0,0,0,0.0,0,0.0,0,0,771,RF,5,1988,,
373,27,0,0,0,0.0,0,0.0,0,0,771,RF,5,1988,,
374,33,0,0,0,0.0,0,0.0,1,1,771,RF,5,1988,,
