,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year,27
264,4,1,102,62,15,0,1,0,181,7615,GTB,5,2009,0.0
265,12,0,0,10,4,0,7,0,21,7615,GTB,5,2009,0.0
266,15,0,10,19,31,0,7,0,67,7615,GTB,5,2009,0.0
267,18,2,2,4,2,0,1,0,11,7615,GTB,5,2009,0.0
268,22,1,0,0,1,0,2,0,4,7615,GTB,5,2009,0.0
269,27,0,0,0,0,0,0,0,0,7615,GTB,5,2009,0.0
270,33,0,0,0,0,0,0,2,2,7615,GTB,5,2009,0.0
271,Total,6,114,95,53,0,18,2,288,7615,GTB,5,2009,0.0
272,3,19,12,0,1,0,0,0,32,746,GTB,5,2021,0.0
273,4,24,93,2,8,0,0,0,127,746,GTB,5,2021,0.0
274,12,0,0,2,1,0,0,0,3,746,GTB,5,2021,0.0
275,15,0,8,0,9,0,2,0,19,746,GTB,5,2021,0.0
276,18,0,0,0,1,0,0,0,1,746,GTB,5,2021,0.0
277,22,0,1,0,2,0,1,0,4,746,GTB,5,2021,0.0
278,27,0,0,0,0,0,0,0,0,746,GTB,5,2021,0.0
279,33,0,0,0,0,0,0,1,1,746,GTB,5,2021,0.0
280,Total,43,114,4,22,0,3,1,187,746,GTB,5,2021,0.0
281,3,36,9,0,0,1,0,0,47,7741,GTB,9,1993,1.0
282,4,37,85,11,10,8,2,1,155,7741,GTB,9,1993,1.0
283,12,1,4,2,0,3,0,0,10,7741,GTB,9,1993,0.0
284,15,0,45,18,47,26,13,0,149,7741,GTB,9,1993,0.0
285,18,0,1,0,0,0,0,0,1,7741,GTB,9,1993,0.0
286,22,0,1,0,0,0,0,0,1,7741,GTB,9,1993,0.0
287,27,0,0,0,0,0,0,0,1,7741,GTB,9,1993,1.0
288,33,0,0,0,0,0,0,0,0,7741,GTB,9,1993,0.0
289,Total,74,145,31,57,38,15,1,364,7741,GTB,9,1993,3.0
290,3,16,9,1,1,0,2,1,33,753,GTB,10,1994,3.0
291,4,88,203,2,30,0,14,2,348,753,GTB,10,1994,9.0
292,12,2,8,1,1,0,2,1,15,753,GTB,10,1994,0.0
293,15,22,39,2,21,0,16,1,115,753,GTB,10,1994,14.0
294,18,9,7,0,2,0,5,0,25,753,GTB,10,1994,2.0
295,22,1,3,0,6,0,11,0,23,753,GTB,10,1994,2.0
296,27,0,1,0,1,0,0,0,2,753,GTB,10,1994,0.0
297,33,3,3,1,1,0,0,8,16,753,GTB,10,1994,0.0
298,Total,141,273,7,63,0,50,13,577,753,GTB,10,1994,30.0
299,3,0,0,0,0,0,0,0,0,773,GTB,7,2009,
300,4,0,1,0,1,0,0,0,2,773,GTB,7,2009,
301,12,0,0,0,0,1,0,0,1,773,GTB,7,2009,
302,15,0,7,0,10,0,0,0,17,773,GTB,7,2009,
303,18,0,0,0,0,0,0,0,0,773,GTB,7,2009,
304,22,0,0,0,0,0,0,0,0,773,GTB,7,2009,
305,33,0,0,0,0,0,0,0,0,773,GTB,7,2009,
306,Total,0,8,0,11,1,0,0,20,773,GTB,7,2009,
307,3,0,9,0,0,0,0,0,9,767,GTB,10,2017,0.0
308,4,0,33,0,5,0,0,0,38,767,GTB,10,2017,0.0
309,12,0,0,0,0,0,0,0,0,767,GTB,10,2017,0.0
310,15,0,6,0,30,7,2,0,45,767,GTB,10,2017,0.0
311,18,0,1,0,6,1,0,0,8,767,GTB,10,2017,0.0
312,22,0,0,0,0,0,1,0,1,767,GTB,10,2017,0.0
313,27,0,0,0,0,0,0,0,0,767,GTB,10,2017,0.0
314,33,0,0,0,0,0,0,0,0,767,GTB,10,2017,0.0
315,Total,0,49,0,41,8,3,0,101,767,GTB,10,2017,0.0
316,3,2,0,0,1,0,0,0,3,7612,GTB,6,1995,
317,4,4,56,4,4,0,1,0,69,7612,GTB,6,1995,
318,12,0,0,1,4,0,2,0,7,7612,GTB,6,1995,
319,15,0,10,1,14,0,0,0,25,7612,GTB,6,1995,
320,18,0,0,0,0,0,0,0,0,7612,GTB,6,1995,
321,22,0,0,0,0,0,1,0,1,7612,GTB,6,1995,
322,33,0,0,0,0,0,0,1,1,7612,GTB,6,1995,
323,Total,6,66,6,23,0,4,1,106,7612,GTB,6,1995,
324,3,0,1,0,0,0,0,0,1,751,GTB,6,1994,
325,4,0,0,0,0,0,0,0,0,751,GTB,6,1994,
326,12,0,1,0,0,0,0,0,1,751,GTB,6,1994,
327,15,0,0,0,0,0,0,0,0,751,GTB,6,1994,
328,18,0,0,0,0,0,0,0,0,751,GTB,6,1994,
329,22,1,0,1,0,0,0,0,2,751,GTB,6,1994,
330,33,0,0,0,0,0,0,0,0,751,GTB,6,1994,
331,Total,1,2,1,0,0,0,0,4,751,GTB,6,1994,
332,3,0,0,0,0,0,0,0,0,771,GTB,7,1993,
333,4,1,0,9,5,15,3,0,33,771,GTB,7,1993,
334,12,0,0,0,0,0,0,0,0,771,GTB,7,1993,
335,15,1,0,2,4,5,0,0,12,771,GTB,7,1993,
336,18,0,0,0,0,0,0,0,0,771,GTB,7,1993,
337,22,0,0,0,0,0,0,0,0,771,GTB,7,1993,
338,33,0,0,0,0,0,0,0,0,771,GTB,7,1993,
339,Total,2,0,11,9,20,3,0,45,771,GTB,7,1993,
340,3,0,0,0,0,0,0,0,0,756,GTB,7,2018,
341,4,0,2,0,0,6,0,0,8,756,GTB,7,2018,
342,12,0,0,0,0,0,0,0,0,756,GTB,7,2018,
343,15,0,0,0,0,0,0,0,0,756,GTB,7,2018,
344,18,0,0,0,0,0,0,0,0,756,GTB,7,2018,
345,22,0,0,0,0,0,0,0,0,756,GTB,7,2018,
346,33,0,0,0,0,0,0,1,1,756,GTB,7,2018,
347,Total,0,2,0,0,6,0,1,9,756,GTB,7,2018,
348,3,0,0,0,0,0,0,0,0,7742,GTB,6,2008,
349,4,0,0,0,0,0,0,0,0,7742,GTB,6,2008,
350,12,0,0,0,0,0,0,0,0,7742,GTB,6,2008,
351,15,0,0,0,3,0,2,0,5,7742,GTB,6,2008,
352,18,0,0,0,0,0,0,0,0,7742,GTB,6,2008,
353,22,0,0,0,0,0,0,0,0,7742,GTB,6,2008,
354,33,0,0,0,0,0,0,0,0,7742,GTB,6,2008,
355,Total,0,0,0,3,0,2,0,5,7742,GTB,6,2008,
356,3,13,8,0,0,0,0,0,21,746,GTB,7,2016,
357,4,16,51,4,2,5,0,0,78,746,GTB,7,2016,
358,12,0,0,0,0,0,0,0,0,746,GTB,7,2016,
359,15,0,2,0,1,3,1,0,7,746,GTB,7,2016,
360,18,0,0,0,0,0,0,0,0,746,GTB,7,2016,
361,22,1,0,0,0,0,1,0,2,746,GTB,7,2016,
362,33,0,0,0,0,0,0,0,0,746,GTB,7,2016,
363,Total,30,61,4,3,8,2,0,108,746,GTB,7,2016,
364,3,2,2,0,0,1,0,0,5,754,GTB,7,2011,
365,4,14,91,0,12,49,0,2,168,754,GTB,7,2011,
366,12,0,2,0,3,3,0,1,9,754,GTB,7,2011,
367,15,0,22,0,15,23,0,2,62,754,GTB,7,2011,
368,18,0,3,0,2,2,0,0,7,754,GTB,7,2011,
369,22,0,0,0,1,2,0,0,3,754,GTB,7,2011,
370,33,0,1,0,0,0,0,15,16,754,GTB,7,2011,
371,Total,16,121,0,33,80,0,20,270,754,GTB,7,2011,
372,3,0,1,0,0,1,0,0,2,7615,GTB,7,1994,
373,4,0,112,27,9,13,5,0,166,7615,GTB,7,1994,
374,12,0,2,4,5,2,7,0,20,7615,GTB,7,1994,
375,15,0,5,9,12,5,10,0,41,7615,GTB,7,1994,
376,18,0,0,1,2,3,2,0,8,7615,GTB,7,1994,
377,22,0,0,0,1,0,2,0,3,7615,GTB,7,1994,
378,33,0,0,0,0,0,0,2,2,7615,GTB,7,1994,
379,Total,0,120,41,29,24,26,2,242,7615,GTB,7,1994,
380,3,0,0,0,0,0,0,0,0,755,GTB,6,2021,
381,4,5,82,6,8,0,1,0,102,755,GTB,6,2021,
382,12,0,0,1,1,0,0,0,2,755,GTB,6,2021,
383,15,1,11,7,16,0,2,0,37,755,GTB,6,2021,
384,18,0,1,0,7,0,0,0,8,755,GTB,6,2021,
385,22,0,0,0,2,0,3,0,5,755,GTB,6,2021,
386,33,1,1,1,0,0,1,1,5,755,GTB,6,2021,
387,Total,7,95,15,34,0,7,1,159,755,GTB,6,2021,
388,3,0,1,0,0,0,0,0,1,7421,GTB,10,1998,0.0
389,4,2,55,3,4,0,1,0,65,7421,GTB,10,1998,0.0
390,12,0,2,0,0,0,0,0,2,7421,GTB,10,1998,0.0
391,15,0,6,3,4,0,2,0,15,7421,GTB,10,1998,0.0
392,18,0,1,0,0,0,0,0,1,7421,GTB,10,1998,0.0
393,22,0,0,0,0,0,0,0,0,7421,GTB,10,1998,0.0
394,27,0,0,0,0,0,0,0,0,7421,GTB,10,1998,0.0
395,33,0,0,0,0,0,0,0,0,7421,GTB,10,1998,0.0
396,Total,2,65,6,8,0,3,0,84,7421,GTB,10,1998,0.0
397,3,113,231,4,19,4,6,3,393,Caatinga,GTB,10,1994,13.0
398,4,407,3985,240,743,103,154,16,5719,Caatinga,GTB,10,1994,71.0
399,12,7,66,36,54,13,46,10,236,Caatinga,GTB,10,1994,4.0
400,15,90,979,124,1437,152,312,11,3215,Caatinga,GTB,10,1994,110.0
401,18,13,36,5,43,10,15,0,130,Caatinga,GTB,10,1994,8.0
402,22,3,24,6,21,1,46,3,115,Caatinga,GTB,10,1994,11.0
403,27,2,11,2,5,0,1,0,24,Caatinga,GTB,10,1994,3.0
