,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
318,33,0,0,0,0,0,0,0,0,776,RF,5,2011
319,Total,4,62,16,59,0,27,0,168,776,RF,5,2011
320,3,0,0,0,0,1,0,0,1,751,RF,7,2003
321,4,0,0,0,0,0,0,0,0,751,RF,7,2003
322,12,0,1,0,0,0,0,0,1,751,RF,7,2003
323,15,0,0,0,0,0,0,0,0,751,RF,7,2003
324,18,0,0,0,0,0,0,0,0,751,RF,7,2003
325,22,0,1,0,0,0,1,0,2,751,RF,7,2003
326,33,0,0,0,0,0,0,0,0,751,RF,7,2003
327,Total,0,2,0,0,1,1,0,4,751,RF,7,2003
328,3,2,5,0,0,0,0,0,7,767,RF,7,2018
329,4,4,21,2,4,2,0,0,33,767,RF,7,2018
330,12,0,0,0,0,0,0,0,0,767,RF,7,2018
331,15,0,4,1,29,3,0,0,37,767,RF,7,2018
332,18,2,2,0,1,3,0,0,8,767,RF,7,2018
333,22,0,0,0,0,0,0,0,0,767,RF,7,2018
334,33,0,0,0,0,0,0,0,0,767,RF,7,2018
335,Total,8,32,3,34,8,0,0,85,767,RF,7,2018
336,3,0,0,0,0,0,0,0,0,741,RF,7,2015
337,4,2,10,1,0,3,0,0,16,741,RF,7,2015
338,12,0,0,2,1,0,0,0,3,741,RF,7,2015
339,15,0,3,1,1,3,2,0,10,741,RF,7,2015
340,18,0,0,1,0,0,0,0,1,741,RF,7,2015
341,22,0,0,0,0,0,0,0,0,741,RF,7,2015
342,33,0,1,0,0,0,0,0,1,741,RF,7,2015
343,Total,2,14,5,2,6,2,0,31,741,RF,7,2015
344,3,1,6,0,0,0,0,0,7,744,RF,7,1997
345,4,14,185,18,2,27,0,1,247,744,RF,7,1997
346,12,0,2,6,0,0,5,0,13,744,RF,7,1997
347,15,0,10,12,9,6,8,0,45,744,RF,7,1997
348,18,0,1,2,1,0,0,0,4,744,RF,7,1997
349,22,0,0,1,0,0,0,0,1,744,RF,7,1997
350,33,0,0,1,0,0,0,0,1,744,RF,7,1997
351,Total,15,204,40,12,33,13,1,318,744,RF,7,1997
352,3,0,2,0,0,0,0,0,2,745,RF,6,2012
353,4,22,4,0,0,0,1,0,27,745,RF,6,2012
354,12,0,0,0,0,0,0,0,0,745,RF,6,2012
355,15,0,1,0,1,0,0,0,2,745,RF,6,2012
356,18,0,0,0,0,0,0,0,0,745,RF,6,2012
357,22,0,0,0,0,0,0,0,0,745,RF,6,2012
358,33,0,0,0,0,0,0,0,0,745,RF,6,2012
359,Total,22,7,0,1,0,1,0,31,745,RF,6,2012
360,3,0,0,0,0,0,0,0,0,7613,RF,5,1985
361,4,2,96,18,14,0,10,0,140,7613,RF,5,1985
362,12,0,2,0,9,0,2,0,13,7613,RF,5,1985
363,15,0,4,1,4,0,2,0,11,7613,RF,5,1985
364,18,0,0,0,0,0,0,0,0,7613,RF,5,1985
365,22,0,0,0,1,0,0,0,1,7613,RF,5,1985
366,33,1,1,0,0,0,0,0,2,7613,RF,5,1985
367,Total,3,103,19,28,0,14,0,167,7613,RF,5,1985
