,area,classe,year,Colacao,Bacia,cobertura,cob_level1,cob_color,nat_color,total
1135,7219.145933721721,33,1994,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1136,119830.60343759836,3,1995,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1137,1237692.1169208938,4,1995,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1138,3738.1677702769775,12,1995,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1139,2084507.440237476,21,1995,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1140,13323.345257477884,22,1995,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1141,22073.6478894508,29,1995,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1142,7522.581487190399,33,1995,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1143,115699.89582889818,3,1996,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1144,1246963.233963388,4,1996,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1145,3325.2529591765697,12,1996,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1146,2081180.4296874136,21,1996,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1147,11984.66395326877,22,1996,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1148,22568.34529808978,29,1996,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1149,6966.081310136211,33,1996,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1150,114431.53457759018,3,1997,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1151,1279470.7318144967,4,1997,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1152,2912.278081089751,12,1997,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1153,2051624.8927171452,21,1997,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1154,10228.173466368386,22,1997,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1155,22367.449373407217,29,1997,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1156,7652.842970309518,33,1997,Col80,772,Water,Natural,#112013,#32a65e,cobertura
